Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
NORTH SCHOOL,49 MAIN STREET,SPRINGFIELD,VT,05150,WINDSOR,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:117661",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:36975,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043082614,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.333456 -72.524969
GREEN MOUNTAIN HABITAT FOR HUMANITY,219 ELMWOOD AVENUE,BURLINGTON,VT,05401,CHITTENDEN,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:125882",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:7807,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043637507,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.486742 -73.21421
FAIRBANKS MORSE FOUNDRY,265 HIGH STREET,ST. JOHNSBURY,VT,05819,CALEDONIA,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:158602",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:27188,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110056392764,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.41377 -72.02676
MERCHANTS ROW - GRANITE MUSEUM,OFF DEPOT SQUARE,BARRE,VT,05641,WASHINGTON,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:212401",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:29552,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070234866,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.1988425182345 -72.5044188356514
FORMER BARTON MINI MART,515 MAIN STREET,BARTON,VT,05822,ORLEANS,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:90983",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:22101,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038764361,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.751097 -72.180089
BRATTLEBORO TRANSPORTATION CENTER,ELLIOT STREET AND FLAT STREET,BRATTLEBORO,VT,05301,WINDHAM,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:14803",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:12153,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039547229,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.851317 -72.559932
WOOLSON BLOCK,33-41 MAIN STREET,SPRINGFIELDSPRINGFIELD,VT,05156,WINDSOR,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:238658",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:24270,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556397,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.2985572 -72.4821665
52 NORTH CHAMPLAIN STREET,52 NORTH CHAMPLAIN STREET,BURLINGTON,VT,05401,CHITTENDEN,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:111506",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:6765,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110040822107,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.48208 -73.21737
FLORY'S PLAZA,BUSINESS ROUTE 4,CENTER RUTLAND,VT,05736,RUTLAND,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:36342",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:21788,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038713130,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.5832007 -73.0021534
133 MARCOUX DRIVE (RACLT #1),133 MARCOUX DRIVE,WINDSOR,VT,05089,WINDSOR,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:27621",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:7335,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038710865,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.4797 -72.3873
BROWN'S COURT,0 BROWNS COURT,BURLINGTON,VT,05401,CHITTENDEN,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:53761",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:23480,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038722674,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.474975 -73.213581
BORNEMANN MACHINE SHOP,33 FOUNDRY STREET,MORRISVILLE,VT,05661,LAMOILLE,,"https://cimc.epa.gov/ords/cimc/f?p=121:31::::31,0:P31_ID:173042",,,,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P33_REF:32649,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110063211581,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:44.564293 -72.598991
